Module Code,Positive Comments,Negative Comments,Positive Sentiment Ratio,Aggregated Sentiment Score
CN5555,,,,
CN5566,,,,
CN5666,,,,
CN5999,,,,
CN6020,,,,
CN6163,,,,
CN6251,,,,
CN6999,,,,
COS1000,,,,
CP1008,0,1,0,-0.998113275
CP2106,1,3,0.25,-0.506913275
CP2201,3,0,1,0.98053956
CP3106,1,0,1,0.996608019
CP3107,,,,
CP3108A,0,1,0,-0.987424195
CP3108B,0,1,0,-0.99844712
CP3110,,,,
CP3200,,,,
CP3201,0,3,0,-0.99513648
CP3202,,,,
CP3208,,,,
CP3209,1,0,1,0.958137274
CP3880,0,1,0,-0.995513618
CP4101,2,2,0.5,-0.059525698
CP4106,,,,
CP5010,,,,
CP5101,,,,
CP5102,,,,
CP5103,,,,
CP5104,,,,
CP5105,,,,
CP5106,,,,
CP6010,,,,
CS1010,9,14,0.391304348,-0.239320232
CS1010A,2,0,1,0.623682857
CS1010E,6,19,0.24,-0.500670493
CS1010J,3,1,0.75,0.378105566
CS1010R,0,1,0,-0.900223732
CS1010S,19,30,0.387755102,-0.23628107
CS1010X,21,14,0.6,0.202341286
CS1101S,24,26,0.48,-0.036658775
CS1231,14,32,0.304347826,-0.390114202
CS1231S,18,31,0.367346939,-0.250111846
CS2030,10,27,0.27027027,-0.465695961
CS2030S,15,26,0.365853659,-0.290797066
CS2040,7,28,0.2,-0.598738074
CS2040C,5,5,0.5,-0.001141608
CS2040S,14,26,0.35,-0.319543913
CS2100,12,38,0.24,-0.510999868
CS2101,5,26,0.161290323,-0.676160149
CS2102,8,19,0.296296296,-0.417179779
CS2103,4,7,0.363636364,-0.293802651
CS2103R,,,,
CS2103T,8,20,0.285714286,-0.423939492
CS2104,3,12,0.2,-0.625176859
CS2105,19,30,0.387755102,-0.225127148
CS2106,11,27,0.289473684,-0.427735656
CS2107,7,24,0.225806452,-0.524871572
CS2108,3,5,0.375,-0.232364714
CS2109S,7,22,0.24137931,-0.520357081
CS2113,0,2,0,-0.989030778
CS2113T,0,1,0,-0.995004952
CS2220,,,,
CS2309,2,1,0.666666667,0.326752206
CS3103,3,6,0.333333333,-0.257419063
